CBS code,Naam,Name,Value
1680,Aa en Hunze,blanco stemmen,16
738,Aalburg,blanco stemmen,7
358,Aalsmeer,blanco stemmen,25
197,Aalten,blanco stemmen,17
59,Achtkarspelen,blanco stemmen,22
482,Alblasserdam,blanco stemmen,10
613,Albrandswaard,blanco stemmen,20
361,Alkmaar,blanco stemmen,142
141,Almelo,blanco stemmen,70
34,Almere,blanco stemmen,199
484,Alphen aan den Rijn,blanco stemmen,94
1723,Alphen-Chaam,blanco stemmen,7
60,Ameland,blanco stemmen,3
307,Amersfoort,blanco stemmen,171
362,Amstelveen,blanco stemmen,80
363,Amsterdam,blanco stemmen,999
200,Apeldoorn,blanco stemmen,124
3,Appingedam,blanco stemmen,14
202,Arnhem,blanco stemmen,154
106,Assen,blanco stemmen,54
743,Asten,blanco stemmen,12
744,Baarle-Nassau,blanco stemmen,3
308,Baarn,blanco stemmen,24
489,Barendrecht,blanco stemmen,49
203,Barneveld,blanco stemmen,25
5,Bedum,blanco stemmen,9
888,Beek,blanco stemmen,21
370,Beemster,blanco stemmen,11
889,Beesel,blanco stemmen,13
7,Bellingwedde,blanco stemmen,12
491,Bergambacht,blanco stemmen,1
1724,Bergeijk,blanco stemmen,10
893,Bergen (L.),blanco stemmen,12
373,Bergen (NH),blanco stemmen,23
748,Bergen op Zoom,blanco stemmen,42
1859,Berkelland,blanco stemmen,30
1721,Bernheze,blanco stemmen,23
568,Bernisse,blanco stemmen,12
753,Best,blanco stemmen,31
209,Beuningen,blanco stemmen,16
375,Beverwijk,blanco stemmen,34
585,Binnenmaas,blanco stemmen,18
1728,Bladel,blanco stemmen,22
376,Blaricum,blanco stemmen,13
377,Bloemendaal,blanco stemmen,14
55,Boarnsterhim,blanco stemmen,19
1901,Bodegraven-Reeuwijk,blanco stemmen,30
755,Boekel,blanco stemmen,9
9001,Bonaire,blanco stemmen,358
1681,Borger-Odoorn,blanco stemmen,15
147,Borne,blanco stemmen,12
654,Borsele,blanco stemmen,19
499,Boskoop,blanco stemmen,14
756,Boxmeer,blanco stemmen,28
757,Boxtel,blanco stemmen,24
758,Breda,blanco stemmen,196
501,Brielle,blanco stemmen,29
1876,Bronckhorst,blanco stemmen,26
213,Brummen,blanco stemmen,11
899,Brunssum,blanco stemmen,49
312,Bunnik,blanco stemmen,11
313,Bunschoten,blanco stemmen,15
214,Buren,blanco stemmen,18
381,Bussum,blanco stemmen,18
502,Capelle aan den IJssel,blanco stemmen,55
383,Castricum,blanco stemmen,18
109,Coevorden,blanco stemmen,34
1706,Cranendonck,blanco stemmen,23
611,Cromstrijen,blanco stemmen,7
