CBS code,Naam,Name,Value
1680,Aa en Hunze,50PLUS,207
738,Aalburg,50PLUS,104
358,Aalsmeer,50PLUS,354
197,Aalten,50PLUS,263
59,Achtkarspelen,50PLUS,144
482,Alblasserdam,50PLUS,194
613,Albrandswaard,50PLUS,290
361,Alkmaar,50PLUS,1310
141,Almelo,50PLUS,686
34,Almere,50PLUS,2307
484,Alphen aan den Rijn,50PLUS,776
1723,Alphen-Chaam,50PLUS,131
60,Ameland,50PLUS,45
307,Amersfoort,50PLUS,1320
362,Amstelveen,50PLUS,992
363,Amsterdam,50PLUS,5241
200,Apeldoorn,50PLUS,1676
3,Appingedam,50PLUS,110
202,Arnhem,50PLUS,1273
106,Assen,50PLUS,434
743,Asten,50PLUS,238
744,Baarle-Nassau,50PLUS,116
308,Baarn,50PLUS,254
489,Barendrecht,50PLUS,558
203,Barneveld,50PLUS,385
5,Bedum,50PLUS,82
888,Beek,50PLUS,232
370,Beemster,50PLUS,73
889,Beesel,50PLUS,186
7,Bellingwedde,50PLUS,76
491,Bergambacht,50PLUS,91
1724,Bergeijk,50PLUS,256
893,Bergen (L.),50PLUS,159
373,Bergen (NH),50PLUS,454
748,Bergen op Zoom,50PLUS,917
1859,Berkelland,50PLUS,493
1721,Bernheze,50PLUS,309
568,Bernisse,50PLUS,166
753,Best,50PLUS,682
209,Beuningen,50PLUS,310
375,Beverwijk,50PLUS,662
585,Binnenmaas,50PLUS,276
1728,Bladel,50PLUS,312
376,Blaricum,50PLUS,120
377,Bloemendaal,50PLUS,192
55,Boarnsterhim,50PLUS,128
1901,Bodegraven-Reeuwijk,50PLUS,298
755,Boekel,50PLUS,132
9001,Bonaire,50PLUS,50
1681,Borger-Odoorn,50PLUS,231
147,Borne,50PLUS,193
654,Borsele,50PLUS,168
499,Boskoop,50PLUS,156
756,Boxmeer,50PLUS,230
757,Boxtel,50PLUS,406
758,Breda,50PLUS,1841
501,Brielle,50PLUS,234
1876,Bronckhorst,50PLUS,308
213,Brummen,50PLUS,208
899,Brunssum,50PLUS,371
312,Bunnik,50PLUS,173
313,Bunschoten,50PLUS,102
214,Buren,50PLUS,275
381,Bussum,50PLUS,317
502,Capelle aan den IJssel,50PLUS,890
383,Castricum,50PLUS,408
109,Coevorden,50PLUS,298
1706,Cranendonck,50PLUS,320
611,Cromstrijen,50PLUS,142
1684,Cuijk,50PLUS,227
216,Culemborg,50PLUS,297
148,Dalfsen,50PLUS,218
1891,Dantumadiel,50PLUS,95
310,De Bilt,50PLUS,472
1663,De Marne,50PLUS,88
736,De Ronde Venen,50PLUS,499
1690,De Wolden,50PLUS,162
503,Delft,50PLUS,995
10,Delfzijl,50PLUS,260
400,Den Helder,50PLUS,1021
762,Deurne,50PLUS,368
150,Deventer,50PLUS,856
384,Diemen,50PLUS,341
1774,Dinkelland,50PLUS,273
504,Dirksland,50PLUS,73
221,Doesburg,50PLUS,92
222,Doetinchem,50PLUS,434
766,Dongen,50PLUS,302
58,Dongeradeel,50PLUS,142
505,Dordrecht,50PLUS,1364
498,Drechterland,50PLUS,447
1719,Drimmelen,50PLUS,422
303,Dronten,50PLUS,429
225,Druten,50PLUS,199
226,Duiven,50PLUS,313
1711,Echt-Susteren,50PLUS,381
385,Edam-Volendam,50PLUS,381
228,Ede,50PLUS,974
317,Eemnes,50PLUS,99
1651,Eemsmond,50PLUS,135
770,Eersel,50PLUS,272
1903,Eijsden-Margraten,50PLUS,295
772,Eindhoven,50PLUS,3447
230,Elburg,50PLUS,163
114,Emmen,50PLUS,979
388,Enkhuizen,50PLUS,329
153,Enschede,50PLUS,1302
232,Epe,50PLUS,319
233,Ermelo,50PLUS,253
777,Etten-Leur,50PLUS,590
1722,Ferwerderadiel,50PLUS,69
70,Franekeradeel,50PLUS,144
653,Gaasterlân-Sleat,50PLUS,72
779,Geertruidenberg,50PLUS,340
236,Geldermalsen,50PLUS,296
1771,Geldrop-Mierlo,50PLUS,584
1652,Gemert-Bakel,50PLUS,376
907,Gennep,50PLUS,156
689,Giessenlanden,50PLUS,109
784,Gilze en Rijen,50PLUS,501
511,Goedereede,50PLUS,93
664,Goes,50PLUS,323
785,Goirle,50PLUS,368
512,Gorinchem,50PLUS,334
513,Gouda,50PLUS,760
693,Graafstroom,50PLUS,57
365,Graft-De Rijp,50PLUS,75
786,Grave,50PLUS,148
241,Groesbeek,50PLUS,189
14,Groningen,50PLUS,973
15,Grootegast,50PLUS,67
1729,Gulpen-Wittem,50PLUS,244
158,Haaksbergen,50PLUS,317
788,Haaren,50PLUS,151
392,Haarlem,50PLUS,1740
393,Haarlemmerliede en Spaarnwoude,50PLUS,80
394,Haarlemmermeer,50PLUS,1896
1655,Halderberge,50PLUS,533
160,Hardenberg,50PLUS,498
243,Harderwijk,50PLUS,429
523,Hardinxveld-Giessendam,50PLUS,131
17,Haren,50PLUS,129
395,Harenkarspel,50PLUS,189
72,Harlingen,50PLUS,160
244,Hattem,50PLUS,80
396,Heemskerk,50PLUS,628
397,Heemstede,50PLUS,302
246,Heerde,50PLUS,130
74,Heerenveen,50PLUS,285
398,Heerhugowaard,50PLUS,639
917,Heerlen,50PLUS,971
1658,Heeze-Leende,50PLUS,184
399,Heiloo,50PLUS,298
163,Hellendoorn,50PLUS,344
530,Hellevoetsluis,50PLUS,606
794,Helmond,50PLUS,999
531,Hendrik-Ido-Ambacht,50PLUS,282
164,Hengelo,50PLUS,797
63,Het Bildt,50PLUS,45
252,Heumen,50PLUS,140
797,Heusden,50PLUS,599
